ID,RA,DEC,J,JK,survey
08504075+1125097,132.669814,11.419369,12.694,0.5990000000000002,2MASS
08503559+1125312,132.648304,11.425336,13.583,0.49500000000000105,2MASS
08503868+1126019,132.661204,11.433871,13.747,0.28200000000000003,2MASS
08504080+1124548,132.67001000000002,11.415227,16.429000000000002,0.8400000000000016,2MASS
08504182+1125184,132.67425,11.421784,15.71,0.7430000000000003,2MASS
08504480+1124290,132.686689,11.408068,16.246,0.3859999999999992,2MASS
08505977+1125224,132.749074,11.422895,16.394000000000002,0.7640000000000011,2MASS
08504926+1125152,132.70525,11.420903,16.843,0.8550000000000004,2MASS
08505115+1125541,132.713154,11.431714,16.823,1.1159999999999997,2MASS
08505556+1125329,132.731529,11.425821,15.598,0.8589999999999982,2MASS
08505757+1125286,132.739909,11.424615,16.202,0.7410000000000032,2MASS
08505191+1123565,132.71631000000002,11.39905,14.689,0.3049999999999997,2MASS
08505539+1123483,132.730827,11.396763,16.912,0.997,2MASS
08505671+1123584,132.736316,11.39956,16.596,0.7719999999999985,2MASS
08511096+1123120,132.795675,11.386685,15.67,0.452,2MASS
08510433+1124478,132.76805,11.413305,16.682000000000002,0.6340000000000039,2MASS
08510783+1123106,132.782643,11.386305,15.038,0.2550000000000008,2MASS
08511025+1123254,132.792742,11.390413,16.7,0.7919999999999998,2MASS
08510851+1125432,132.78546,11.428668,14.316,0.4029999999999987,2MASS
08510600+1125454,132.775039,11.429292,12.411,0.29499999999999993,2MASS
08510442+1125231,132.768429,11.423097,16.265,1.1009999999999989,2MASS
08510828+1124072,132.784532,11.402018,13.675999999999998,0.5449999999999999,2MASS
08510113+1126119,132.754721,11.436646,12.342,0.3849999999999998,2MASS
08511237+1125517,132.801559,11.431035,15.44,0.44200000000000017,2MASS
08510212+1123571,132.758838,11.399204,15.561,0.7569999999999997,2MASS
08511932+1123411,132.830538,11.39477,16.784000000000002,1.192000000000002,2MASS
08512035+1123425,132.834797,11.395165,16.714000000000002,0.6600000000000001,2MASS
08511731+1123268,132.822148,11.390804,15.412,0.5920000000000005,2MASS
08512428+1123173,132.8512,11.388164,12.052,0.3060000000000009,2MASS
08512416+1123576,132.85069099999998,11.399344,16.694000000000006,1.1160000000000032,2MASS
08512841+1125328,132.868402,11.425798,16.471,1.1900000000000013,2MASS
08511652+1124462,132.818855,11.412838,16.658,1.1000000000000014,2MASS
08512395+1124494,132.849799,11.413739,12.22,0.3250000000000011,2MASS
08512418+1124257,132.850765,11.40715,15.267,0.8840000000000021,2MASS
08512436+1125244,132.851529,11.423455,15.733,1.0739999999999978,2MASS
08511581+1124402,132.81588,11.411188,16.962,1.222999999999999,2MASS
08511578+1124142,132.815789,11.403952,15.308,0.9979999999999992,2MASS
08511724+1125548,132.82185,11.431915,13.804,0.4719999999999995,2MASS
08512839+1123491,132.868298,11.396989,16.861,1.161999999999999,2MASS
08513626+1125377,132.901099,11.427143,14.071,0.6699999999999999,2MASS
08513811+1126091,132.908827,11.435886,15.65,0.7929999999999993,2MASS
08513351+1123429,132.889646,11.395259,16.418,0.9450000000000004,2MASS
08513821+1124190,132.909229,11.405297,15.802,0.956999999999999,2MASS
08514319+1124368,132.929991,11.410242,16.31,0.9329999999999979,2MASS
08513054+1124092,132.87729,11.402561,15.117,0.8650000000000002,2MASS
08513131+1125117,132.880496,11.419941,16.574,1.078000000000003,2MASS
08514796+1125075,132.949841,11.418762,14.695,0.4820000000000011,2MASS
08515159+1126127,132.964981,11.436882,16.045,0.6390000000000029,2MASS
08515386+1126050,132.974426,11.434733,14.071,0.8500000000000014,2MASS
08514851+1125375,132.952135,11.427095,11.994000000000002,0.34600000000000186,2MASS
08515062+1124349,132.960937,11.409713,13.887,0.8590000000000018,2MASS
08515194+1124521,132.96643,11.414476,14.147,0.4619999999999997,2MASS
08514835+1124102,132.951471,11.402845,14.819,0.9480000000000022,2MASS
08515578+1125358,132.982436,11.426625,16.811,1.1419999999999997,2MASS
08520046+1125433,133.001937,11.428705,15.917,0.4550000000000001,2MASS
08501006+1129355,132.541922,11.49321,15.954,0.934000000000001,2MASS
08501116+1129496,132.54651299999998,11.497125,16.517,1.019,2MASS
08502952+1129342,132.623006,11.492836,16.474,1.338000000000001,2MASS
08501897+1127564,132.579076,11.465686,12.698,0.35299999999999976,2MASS
08502943+1128208,132.622663,11.472464,14.566,0.3119999999999976,2MASS
08502057+1129483,132.585714,11.496763,14.086,0.5599999999999987,2MASS
08502798+1126412,132.616591,11.444782,16.944000000000006,1.142000000000003,2MASS
08502734+1128369,132.61392,11.476927,14.828,0.6059999999999981,2MASS
08502274+1128409,132.594782,11.478042,16.515,0.6970000000000011,2MASS
08502085+1128539,132.586883,11.48166,13.463,0.3049999999999997,2MASS
08501559+1129266,132.564985,11.490727,13.814,0.6199999999999992,2MASS
08502699+1126256,132.612495,11.440467,16.608,1.1959999999999995,2MASS
08502488+1127477,132.603702,11.463251,14.83,0.6479999999999997,2MASS
08502602+1129093,132.60842,11.485931,14.927,0.511000000000001,2MASS
08501699+1129378,132.570827,11.49384,15.654000000000002,1.197000000000001,2MASS
08501548+1129199,132.564511,11.488868,16.305,0.31099999999999817,2MASS
08503714+1127038,132.654777,11.451057,16.355999999999998,0.8769999999999971,2MASS
08504068+1127197,132.66950500000002,11.455491,14.05,0.5520000000000014,2MASS
08504038+1127246,132.668284,11.456855,15.357,1.035,2MASS
08503811+1129335,132.658792,11.492658,15.774,0.7860000000000014,2MASS
08503825+1129292,132.659378,11.491447,14.011,0.613999999999999,2MASS
08504364+1129326,132.68184399999998,11.492404,14.063,0.4979999999999993,2MASS
08503447+1126426,132.643666,11.445176,16.604,0.9909999999999995,2MASS
08503402+1129241,132.641753,11.490029,13.363,0.5679999999999996,2MASS
08503336+1128275,132.639038,11.474319,14.361,0.8669999999999973,2MASS
08504210+1126234,132.675438,11.439834,12.491,0.28199999999999825,2MASS
08503659+1127502,132.652478,11.463949,14.464,0.511000000000001,2MASS
08504439+1128000,132.684987,11.466688,16.180999999999994,0.8169999999999966,2MASS
08505499+1129063,132.729164,11.485108,16.45,0.629999999999999,2MASS
08505406+1128519,132.725275,11.4811,14.630999999999998,0.9069999999999984,2MASS
08505777+1126231,132.740718,11.439751,15.55,0.7690000000000019,2MASS
08505656+1129295,132.735701,11.491535,16.224,0.7869999999999989,2MASS
08505903+1127224,132.74598899999998,11.456228,14.76,0.8879999999999999,2MASS
08505812+1128247,132.742179,11.473551,15.11,0.8229999999999986,2MASS
08505280+1127172,132.720039,11.454794,14.931,0.6699999999999999,2MASS
08505142+1126541,132.714274,11.448386,14.785,0.6999999999999993,2MASS
08505912+1128476,132.746366,11.479914,16.283,0.9580000000000021,2MASS
08505581+1128447,132.732565,11.479091,13.587,0.7769999999999992,2MASS
08505701+1128494,132.737582,11.48041,15.128,0.9130000000000004,2MASS
08505078+1128126,132.711624,11.470186,12.757,0.3729999999999993,2MASS
